,Date;Open;High;Low;Close;Volume
395,2012.01.01 00:00;1567.37;1631.14;1566.07;1616.55;237381
396,2012.01.08 00:00;1614.34;1661.98;1605.03;1638.21;291566
397,2012.01.15 00:00;1635.47;1670.05;1631.45;1666.81;272775
398,2012.01.22 00:00;1666.22;1739.73;1648.99;1738.65;262566
399,2012.01.29 00:00;1735.59;1763.16;1716.16;1725.37;301808
400,2012.02.05 00:00;1728.59;1752.59;1704.64;1721.39;277246
401,2012.02.12 00:00;1727.96;1737.27;1705.23;1722.87;263639
402,2012.02.19 00:00;1727.67;1787.26;1727.67;1772.05;229807
403,2012.02.26 00:00;1773.98;1790.56;1685.96;1711.38;214837
404,2012.03.04 00:00;1711.98;1716.7;1662.86;1713.69;271872
405,2012.03.11 00:00;1713.4;1713.55;1634.44;1659.31;271415
406,2012.03.18 00:00;1660.42;1669.72;1628.08;1661.26;274294
407,2012.03.25 00:00;1664.21;1696.95;1645.19;1666.95;461848
408,2012.04.01 00:00;1671.34;1683.46;1612.39;1630.65;581355
409,2012.04.08 00:00;1644.61;1679.85;1631.8;1655.57;645034
410,2012.04.15 00:00;1653.14;1657.69;1631.09;1642.56;646872
411,2012.04.22 00:00;1639.87;1667.44;1623.21;1662.37;651715
412,2012.04.29 00:00;1664.05;1671.45;1626.43;1641.17;598107
413,2012.05.06 00:00;1639.73;1642.6;1574.42;1579.11;703740
414,2012.05.13 00:00;1582.16;1597.59;1526.96;1592.18;780039
415,2012.05.20 00:00;1592.76;1599.13;1533.14;1572.56;714779
416,2012.05.27 00:00;1575.45;1629.53;1533.21;1623.04;699108
417,2012.06.03 00:00;1623.78;1640.63;1560.99;1592.32;844546
418,2012.06.10 00:00;1600.94;1633.63;1581.74;1623.99;547056
419,2012.06.17 00:00;1623.08;1633.18;1558.1;1571.29;604640
420,2012.06.24 00:00;1572.36;1606.79;1547.9;1596.56;539329
421,2012.07.01 00:00;1597.61;1624.93;1576.39;1582.5;482787
